,0,1,2,3,4,5
v10,18.17,26.98,26.9,17.3,21.36,18.52
v20,-23.38,-22.98,-27.66,-20.4,-19.58,-16.76
v,3.25,4.51,4.23,3.88,3.93,3.09
p1,-4277.889999999999,-2482.682,-4040.782,-3459.639999999999,-2422.757999999999,-2029.196
p2,-1685.125,-2338.435,-2193.255,-2011.78,-2037.7050000000002,-1602.165
E1,121277.0885,155769.73970000003,194431.49666,96856.95199999999,106269.56177999999,78684.26312000002
E2,2738.328125,5273.170925,4638.734325000001,3902.8532,4004.090325,2475.344925
delta_p,-2592.7649999999994,-144.24699999999984,-1847.527,-1447.859999999999,-385.05299999999875,-427.03099999999995
delta_E,118538.760375,150496.56877500002,189792.762335,92954.09879999999,102265.47145499999,76208.91819500002
